 ,ImageID,Genotype,FlyNum,Temperature,Stage,StageComment,Nucleus,NucleusComment,PosteriorGap,LateralGap,GapMarker,GapComment,BazookaExclusion,BazookaComment,Par1atPosterior,Par1Comment,AnalystName,AnalysisDate,Camera,Objective,TimeInterval,Timepoints,PixelSize,VoxelSize,Wavelength_Ch1,LP_Ch1,Exposure(s)_Ch1,EMGain_Ch1,Wavelength_Ch2,LP_Ch2,Exposure(s)_Ch2,EMGain_Ch2,Wavelength_Ch3,LP_Ch3,Exposure(s)_Ch3,EMGain_Ch3
55,20200611_MCZ (Z First)1_Oocyte3_first.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,OK,,Yes,Yes,Jupiter,,No,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
56,20200615_MCZ (Z First)3_Oocyte1.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,OK,,Yes,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
57,20200615_MCZ (Z First)3_Oocyte2.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,OK,,Yes,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
58,20200615_MCZ (Z First)3_Oocyte3.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,OK,,Yes,Yes,Jupiter,,No,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,140,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
59,20200615_MCZ (Z First)4_Oocyte1.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,OK,,Yes,Yes,Jupiter,,NA,,No,,Ana Milas,20201019,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
60,20200615_MCZ (Z First)4_Oocyte2.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10B,,OK,,Yes,Yes,Jupiter,,NA,,No,,Ana Milas,20201019,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
61,20200615_MCZ (Z First)4_Oocyte3.tif,w; UASp>GFP::PAR1(N1S)/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,1,18,10A,,OK,,No,Yes,Jupiter,,NA,,Yes,,Ana Milas,20201019,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
62,20200615_MCZ (Z First)5_Oocyte1.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,11,,OK,,Yes,Yes,Jupiter,,No,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
63,20200615_MCZ (Z First)5_Oocyte2.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,10B,,not visible,,Yes,Yes,Jupiter,,Yes,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
64,20200615_MCZ (Z First)5_Oocyte3.tif,w; UASp>Bazooka::mGFP/mata4-GAL4; Jupiter::mCherry/Jupiter::mCherry,2,18,11,,not visible,,Yes,Yes,Jupiter,,No,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,2,0.163,0.5,488,20,0.1,300,561,40,0.1,300,0,0,0,0
